x,y,ndvi,label
0,0,0.19972825951271564,land
0,10,0.46459193247192143,vegetation
0,20,0.4249999979567307,vegetation
0,30,0.01646586342075128,land
0,40,0.03608076791781886,land
0,50,-0.02372013649853231,land
0,60,0.04242424205693297,land
0,70,0.13816689403480667,land
0,80,0.3690476180015657,vegetation
0,90,0.3728746525390484,vegetation
0,100,0.47505047454557114,vegetation
0,110,0.3228840074783071,vegetation
0,120,0.48005147696234574,vegetation
0,130,0.5675675646176322,vegetation
0,140,0.4643813579840313,vegetation
0,150,-0.01913043444990549,land
0,160,-0.039312038829090436,land
0,170,0.02284011893902563,land
0,180,-0.04842669041684145,land
0,190,-0.06868867079131988,land
0,200,-0.048308559682016555,land
0,210,0.1773700301290264,land
0,220,0.14386896793329362,land
0,230,0.3469230755887574,vegetation
0,240,0.3425962670004118,vegetation
0,250,0.4434523776528841,vegetation
0,260,0.495586377707526,vegetation
0,270,0.5703231653603861,vegetation
0,280,0.4319273869090903,vegetation
0,290,0.261627903174013,land
0,300,-0.12668463498037166,land
10,0,0.09345372418305316,land
10,10,0.16412213583852925,land
10,20,0.43723280047713636,vegetation
10,30,0.34518997435250615,vegetation
10,40,0.11481036534269716,land
10,50,-0.01967307969067476,land
10,60,-0.07936507897140338,land
10,70,0.4076246319368598,vegetation
10,80,0.4895267630351948,vegetation
10,90,0.37482451860166344,vegetation
10,100,0.20251937886376267,land
10,110,0.41399999586,vegetation
10,120,0.532374098325656,vegetation
10,130,0.5363591969919024,vegetation
10,140,0.4143365510201497,vegetation
10,150,0.30480235117673193,land
10,160,0.10692853216877105,land
10,170,-0.07692307644970414,land
10,180,-0.1168639044610658,land
10,190,-0.009795918357351104,land
10,200,0.16690856252935934,land
10,210,-0.020351709108176824,land
10,220,-0.023809523746535652,land
10,230,-0.05897219857214743,land
10,240,0.4105677702311527,vegetation
10,250,-0.030949839848559577,land
10,260,0.35373087619815524,vegetation
10,270,0.3201820931102212,vegetation
10,280,0.4510250518106486,vegetation
10,290,0.46187899428490414,vegetation
10,300,0.21258426870748642,land
20,0,-0.028412347475303083,land
20,10,-0.0013495276607640766,land
20,20,0.35951661359881715,vegetation
20,30,0.2775868641558348,land
20,40,0.22715404615011545,land
20,50,0.062216924762295775,land
20,60,0.04956984832124161,land
20,70,-0.01984797295201861,land
20,80,0.3656914881459724,vegetation
20,90,0.1947194714528574,land
20,100,0.4063889995697978,vegetation
20,110,0.4343036961671766,vegetation
20,120,0.46915223937349204,vegetation
20,130,0.11928783347392334,land
20,140,-0.0013280212307035693,land
20,150,-0.009260818303989194,land
20,160,0.008206330501684286,land
20,170,-0.015107102558946782,land
20,180,0.05250643936495653,land
20,190,0.17684887416065082,land
20,200,-0.009147337456472823,land
20,210,-0.03650287884370122,land
20,220,-0.05473554718716006,land
20,230,-0.0009170706132358567,land
20,240,0.05854800891063225,land
20,250,-0.09429851096199188,land
20,260,0.24695651959168244,land
20,270,0.15298784985621658,land
20,280,0.5802066308852277,vegetation
20,290,0.3921397362788657,vegetation
20,300,0.22505938175457427,land
30,0,0.2615694158411232,land
30,10,0.27659574370001505,land
30,20,0.30800230193436295,land
30,30,-0.07114093927901145,land
30,40,0.5046796238132483,vegetation
30,50,-0.024972855553012478,land
30,60,0.09498806659907383,land
30,70,0.029489483110147464,land
30,80,0.2681638033105953,land
30,90,0.5013262577306531,vegetation
30,100,0.19679519180372965,land
30,110,0.4380090477918142,vegetation
30,120,0.4381125210957803,vegetation
30,130,0.3795326334426566,vegetation
30,140,0.3063439052322875,land
30,150,0.3497652568475537,vegetation
30,160,0.04145077698730167,land
30,170,0.2359066418818433,land
30,180,0.2570781419675024,land
30,190,0.3305548311264526,vegetation
30,200,0.020408163046099215,land
30,210,-0.004504504500093513,land
30,220,0.18115461121050228,land
30,230,0.18548065342847764,land
30,240,0.06946688190753085,land
30,250,-0.005927552133998297,land
30,260,0.2962711844320598,land
30,270,0.15565915525599805,land
30,280,0.4105102786709042,vegetation
30,290,0.4857941290833995,vegetation
30,300,0.24189340200561532,land
40,0,0.41063574405983305,vegetation
40,10,0.3888228284232151,vegetation
40,20,0.22857956097757026,land
40,30,0.5659612761550595,vegetation
40,40,0.3208243607480026,vegetation
40,50,0.3821989517678913,vegetation
40,60,0.38326634861795267,vegetation
40,70,0.5738386859860443,vegetation
40,80,0.42905982722624003,vegetation
40,90,0.4169741678183848,vegetation
40,100,0.32348992854375935,vegetation
40,110,0.14650077714929774,land
40,120,0.29318541764512346,land
40,130,0.23284823042777308,land
40,140,0.29752066021131385,land
40,150,0.566840514502222,vegetation
40,160,0.24837013617587775,land
40,170,0.2988871212285885,land
40,180,0.39190845773637734,vegetation
40,190,0.06578947281855957,land
40,200,-0.024796447030354465,land
40,210,0.18008218472303075,land
40,220,0.544421786937309,vegetation
40,230,0.24664679490817137,land
40,240,-0.03353238386066888,land
40,250,-0.032996894377914504,land
40,260,0.14301339856982936,land
40,270,0.38338461302532545,vegetation
40,280,0.5164220788509988,vegetation
40,290,0.47501435683506976,vegetation
40,300,0.2905472622360833,land
50,0,0.46951456128343855,vegetation
50,10,0.4737277597280605,vegetation
50,20,0.0956937776149814,land
50,30,0.09462915359004723,land
50,40,0.4457831295462977,vegetation
50,50,0.4079280280912903,vegetation
50,60,0.32742840174954707,vegetation
50,70,0.3347502644890178,vegetation
50,80,0.47191550421548,vegetation
50,90,0.49130582853288157,vegetation
50,100,0.45155993246486065,vegetation
50,110,0.13615023261110748,land
50,120,0.4055608801267455,vegetation
50,130,0.10079999838720002,land
50,140,0.3351498614771808,vegetation
50,150,0.45023696469082003,vegetation
50,160,0.050406503245422715,land
50,170,-0.011251049519309742,land
50,180,-0.0066685995747503635,land
50,190,0.23454987777481784,land
50,200,0.13335550338092617,land
50,210,-0.03418114853932426,land
50,220,0.2539315442786042,land
50,230,0.46774193368762695,vegetation
50,240,-0.036106749825639724,land
50,250,-0.0507605537081178,land
50,260,0.11725663673577935,land
50,270,0.3075791011494514,land
50,280,0.36289500324722224,vegetation
50,290,0.32820018933397316,vegetation
50,300,0.5287992172834389,vegetation
60,0,0.4632418048572107,vegetation
60,10,0.13961407333014672,land
60,20,0.05499276371206394,land
60,30,-0.03535969340240403,land
60,40,0.2892398801123402,land
60,50,0.19669421162488906,land
60,60,0.39926739717808796,vegetation
60,70,0.4222222202258996,vegetation
60,80,0.33962264036515283,vegetation
60,90,0.32625368635323393,vegetation
60,100,0.5039999966400001,vegetation
60,110,0.19489981607559367,land
60,120,0.3933453691169838,vegetation
60,130,0.09129267339606316,land
60,140,-0.01957637995861972,land
60,150,0.03283582056879781,land
60,160,-0.03257880258876793,land
60,170,0.1694915247992206,land
60,180,0.5133689824320589,vegetation
60,190,0.5190930772103428,vegetation
60,200,0.1780495073723546,land
60,210,0.479849115584973,vegetation
60,220,0.4263636344256198,vegetation
60,230,0.4178589027239324,vegetation
60,240,0.019721019673590624,land
60,250,-0.04643104610927896,land
60,260,-0.09296482295270324,land
60,270,0.306027819528486,land
60,280,0.45422534944703435,vegetation
60,290,0.45198463218959906,vegetation
60,300,0.3832997968646892,vegetation
70,0,0.012587930372847222,land
70,10,0.1066761698582177,land
70,20,-0.017540514759255943,land
70,30,-0.024583052130933144,land
70,40,-0.08469945239481623,land
70,50,0.03379223987744381,land
70,60,0.35849999910374997,vegetation
70,70,0.33762649183416293,vegetation
70,80,0.036848792416152576,land
70,90,-0.08595229047348621,land
70,100,0.32484599455915397,vegetation
70,110,0.2524199543841401,land
70,120,0.08284409627252415,land
70,130,0.03731343248774783,land
70,140,0.10591210842266167,land
70,150,0.021347013037651807,land
70,160,0.2132003793608728,land
70,170,-0.021098726093651748,land
70,180,0.3706754499944362,vegetation
70,190,0.2485688452890363,land
70,200,0.45387453722282944,vegetation
70,210,0.51643345097158,vegetation
70,220,0.40011925819845406,vegetation
70,230,0.3208202978073677,vegetation
70,240,0.17133163625389466,land
70,250,0.029825548593625354,land
70,260,0.11796733176658399,land
70,270,0.22096069804669374,land
70,280,0.2019230749815089,land
70,290,0.22701298583369878,land
70,300,0.46873722734476,vegetation
80,0,0.12886048942541536,land
80,10,0.15061518816030892,land
80,20,-0.04398553255864481,land
80,30,-0.04568527909119019,land
80,40,0.03488996223891593,land
80,50,0.04568527880130898,land
80,60,0.2722558317004682,land
80,70,0.029761903876133814,land
80,80,0.4849379770529358,vegetation
80,90,0.412885660558595,vegetation
80,100,0.5286821664443243,vegetation
80,110,0.30225079899918333,land
80,120,0.4783969928666343,vegetation
80,130,0.5390801695423971,vegetation
80,140,0.2814872996033325,land
80,150,0.3949147074511918,vegetation
80,160,0.34458940817449624,vegetation
80,170,0.21003884012536944,land
80,180,0.024513172910622744,land
80,190,0.4725776943666467,vegetation
80,200,0.5720523994757745,vegetation
80,210,0.329896906216201,vegetation
80,220,0.30680813168162574,land
80,230,0.23286339272517406,land
80,240,-0.019512195096903474,land
80,250,-0.07383512491874462,land
80,260,-0.0816143490438175,land
80,270,-0.0013515542854008796,land
80,280,0.15546719620092564,land
80,290,-0.005208333197699657,land
80,300,0.3487412284410184,vegetation
90,0,-0.04041070770780293,land
90,10,-0.03014956078962605,land
90,20,0.006827394914841695,land
90,30,-0.03243454471869125,land
90,40,-0.02591876198870885,land
90,50,0.02761571367635995,land
90,60,0.12629070590714292,land
90,70,0.5399087783925063,vegetation
90,80,0.5677352607666223,vegetation
90,90,0.4161702115853327,vegetation
90,100,0.42499129681520603,vegetation
90,110,0.39627179557262904,vegetation
90,120,0.5286968228987385,vegetation
90,130,0.5605143700434403,vegetation
90,140,0.6003191041072233,vegetation
90,150,0.29456576867809603,land
90,160,0.4862450857940511,vegetation
90,170,0.03633217961650364,land
90,180,0.48449757009900046,vegetation
90,190,0.5641227357823653,vegetation
90,200,0.4429530164181794,vegetation
90,210,0.4435433534401538,vegetation
90,220,0.36089029919801036,vegetation
90,230,-0.08650351334322327,land
90,240,-0.03837846815220264,land
90,250,0.26914795364765315,land
90,260,0.046735279151787955,land
90,270,-0.03511674937018133,land
90,280,0.11040339679319874,land
90,290,0.13283207853593887,land
90,300,0.3849832597561776,vegetation
100,0,0.011965811945357587,land
100,10,-0.053353796106027085,land
100,20,-0.03765227018724482,land
100,30,-0.04463411218368958,land
100,40,0.0357011408985993,land
100,50,0.007527675265641808,land
100,60,0.03776360951995191,land
100,70,0.4635798957448905,vegetation
100,80,0.1341724052857459,land
100,90,0.3422053221096156,vegetation
100,100,0.37258566862122844,vegetation
100,110,0.5415784682746342,vegetation
100,120,0.49555950119727793,vegetation
100,130,0.521142854164898,vegetation
100,140,0.26373625890592933,land
100,150,0.13432835486745387,land
100,160,0.44776514031270787,vegetation
100,170,0.35945017058608186,vegetation
100,180,0.5836926672532627,vegetation
100,190,0.3060989625655986,land
100,200,0.43196091813007037,vegetation
100,210,0.4133558731472702,vegetation
100,220,-0.002534854242668119,land
100,230,-0.03795870522228951,land
100,240,0.24637681083448407,land
100,250,0.19328560801459982,land
100,260,-0.031206657312043487,land
100,270,-0.011784383781810702,land
100,280,-0.046075581361863675,land
100,290,0.08759123981032556,land
100,300,0.21715817403273227,land
110,0,0.05737029904647186,land
110,10,0.08126721753757207,land
110,20,-0.0030938466791636914,land
110,30,-0.03296393023719635,land
110,40,-0.006339144208355055,land
110,50,0.05738779621040061,land
110,60,-0.029297564384871674,land
110,70,0.4093637442696166,vegetation
110,80,0.547202048068338,vegetation
110,90,0.5434122630740368,vegetation
110,100,0.33310719018620355,vegetation
110,110,0.5196743537324479,vegetation
110,120,0.5583596192493705,vegetation
110,130,0.5906432713997469,vegetation
110,140,0.4844097968574065,vegetation
110,150,0.4985754972841867,vegetation
110,160,0.4997873224168978,vegetation
110,170,0.5996480395967969,vegetation
110,180,0.4649874031990559,vegetation
110,190,0.3771856754605689,vegetation
110,200,-0.013290559089618334,land
110,210,0.45795987854050413,vegetation
110,220,0.15125651896037684,land
110,230,0.05832793240982523,land
110,240,0.008824567580613188,land
110,250,0.0030855539885398203,land
110,260,-0.0215131737801038,land
110,270,0.001994170882046064,land
110,280,-0.06639566350680445,land
110,290,0.11048424985781795,land
110,300,0.25793544876517616,land
120,0,-0.05966174878757701,land
120,10,-0.15594855180105666,land
120,20,-0.14244604214067597,land
120,30,-0.012425816012216416,land
120,40,-0.033338834763707845,land
120,50,-0.06586355894601051,land
120,60,-0.012492461434916464,land
120,70,0.40236686241728226,vegetation
120,80,0.4588364409504037,vegetation
120,90,0.49874371546015256,vegetation
120,100,0.475548056698583,vegetation
120,110,0.5144110259573589,vegetation
120,120,0.19630484535092738,land
120,130,0.4747081681277032,vegetation
120,140,0.4100895019931265,vegetation
120,150,0.5667779609066028,vegetation
120,160,0.5400394456014223,vegetation
120,170,0.5494071119100439,vegetation
120,180,0.5450695671804624,vegetation
120,190,0.2985418242629177,land
120,200,-0.03739213770477337,land
120,210,0.08601477390006915,land
120,220,-0.0022810218952086887,land
120,230,-0.02834663886573338,land
120,240,0.24048515164999934,land
120,250,0.007665505173062682,land
120,260,0.030489782629760327,land
120,270,-0.04562715426439963,land
120,280,-0.02822331891716277,land
120,290,-0.04241435528210151,land
120,300,-0.026778882733137853,land
130,0,-0.026213813510127863,land
130,10,-0.0477461030418859,land
130,20,0.09982676472517674,land
130,30,0.1150019894249861,land
130,40,-0.10233450575258314,land
130,50,-0.0055468341124575255,land
130,60,0.009915183359317665,land
130,70,0.4383894465866385,vegetation
130,80,0.5015812744998022,vegetation
130,90,0.5279503083728765,vegetation
130,100,0.42440801199509404,vegetation
130,110,0.5852746603817237,vegetation
130,120,0.5578817716813984,vegetation
130,130,0.4626865622314866,vegetation
130,140,0.46544595255331966,vegetation
130,150,0.499287747509659,vegetation
130,160,0.5448989161029669,vegetation
130,170,0.2690355284427153,land
130,180,0.4354628408231328,vegetation
130,190,0.24795283246658095,land
130,200,-0.021196063507963422,land
130,210,0.44704184575168293,vegetation
130,220,0.37510104941349615,vegetation
130,230,0.38484471954075844,vegetation
130,240,0.5601423467610592,vegetation
130,250,0.39396514919691816,vegetation
130,260,-0.05045278104493674,land
130,270,-0.021223985141949325,land
130,280,0.207373271386434,land
130,290,0.023531197778152123,land
130,300,0.3056039842948842,land
140,0,-0.03874866686922444,land
140,10,0.14146505352576436,land
140,20,0.45514950077164457,vegetation
140,30,0.21254775746521667,land
140,40,-0.06673306767369433,land
140,50,-0.03391213141369056,land
140,60,-0.06281983407197826,land
140,70,0.3262187719470804,vegetation
140,80,0.3958333317474626,vegetation
140,90,0.5602347236443399,vegetation
140,100,0.41214057244638613,vegetation
140,110,0.42080377753187026,vegetation
140,120,0.28402366443751975,land
140,130,0.6016771474454294,vegetation
140,140,0.49728629410689856,vegetation
140,150,0.557428212991797,vegetation
140,160,0.42420487226681175,vegetation
140,170,0.3864406746911807,vegetation
140,180,0.43054119120806206,vegetation
140,190,0.30600054220472295,land
140,200,0.49040403916564634,vegetation
140,210,0.5505846438709474,vegetation
140,220,0.444707739159922,vegetation
140,230,0.3977311777321032,vegetation
140,240,0.3434391267482751,vegetation
140,250,0.3374395057745732,vegetation
140,260,0.01152243194037158,land
